location_id,time,sunrise (iso8601),sunset (iso8601),precipitation_sum (inch),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),snowfall_sum (inch),precipitation_hours (h),daylight_duration (s),weather_code (wmo code),temperature_2m_mean (°F),temperature_2m_min (°F),temperature_2m_max (°F),apparent_temperature_mean (°F),apparent_temperature_min (°F),apparent_temperature_max (°F)
0,2025-01-01,2025-01-01T08:20,2025-01-01T17:39,0.189,0.189,14.4,35.3,0.000,4.0,33531.74,63,45.1,38.8,51.7,38.5,28.7,45.6
0,2025-01-02,2025-01-02T08:20,2025-01-02T17:40,0.000,0.000,16.0,38.7,0.000,0.0,33578.16,3,36.8,32.9,41.6,26.6,23.3,30.0
0,2025-01-03,2025-01-03T08:20,2025-01-03T17:41,0.000,0.000,11.1,26.4,0.000,0.0,33628.14,3,32.9,28.9,37.8,24.0,20.1,29.5
0,2025-01-04,2025-01-04T08:20,2025-01-04T17:41,0.000,0.000,15.7,37.1,0.000,0.0,33681.60,3,29.5,27.7,31.8,18.9,16.9,20.8
0,2025-01-05,2025-01-05T08:20,2025-01-05T17:42,0.000,0.000,12.0,29.5,0.000,0.0,33738.49,3,28.3,25.7,32.5,18.5,15.9,21.7
0,2025-01-06,2025-01-06T08:20,2025-01-06T17:43,0.063,0.000,11.3,25.3,0.441,7.0,33798.75,73,27.8,23.7,29.3,20.7,13.1,23.8
0,2025-01-07,2025-01-07T08:20,2025-01-07T17:44,0.000,0.000,19.4,44.5,0.000,0.0,33862.57,3,22.7,16.6,26.9,11.2,4.5,15.7
0,2025-01-08,2025-01-08T08:20,2025-01-08T17:45,0.000,0.000,16.6,38.7,0.000,0.0,33930.60,3,24.4,20.1,27.7,12.7,8.4,16.1
0,2025-01-09,2025-01-09T08:19,2025-01-09T17:46,0.000,0.000,19.3,43.6,0.000,0.0,34002.75,3,24.7,20.2,28.9,12.3,8.7,16.7
0,2025-01-10,2025-01-10T08:19,2025-01-10T17:47,0.000,0.000,14.6,32.9,0.000,0.0,34078.86,3,30.7,25.4,37.9,21.2,14.5,29.1
0,2025-01-11,2025-01-11T08:19,2025-01-11T17:48,0.075,0.000,10.8,24.6,0.524,6.0,34158.76,73,29.9,27.0,32.6,22.3,19.0,25.1
0,2025-01-12,2025-01-12T08:19,2025-01-12T17:49,0.000,0.000,9.8,22.4,0.000,0.0,34242.29,3,33.0,29.1,40.3,25.5,19.8,32.6
